Time (s),A-output,B-output
1.68,-0.158529,0.035663
1.685,-0.142595,0.044458
1.69,-0.133723,0.05688
1.695,-0.121411,0.057537
1.7,-0.110562,0.057613
1.705,-0.100401,0.025214
1.71,-0.101787,0.006812
1.715,-0.107202,0.011928
1.72,-0.094537,0.061035
1.725,-0.072736,0.205772
1.73,-0.074187,0.334166
1.735,-0.066478,0.326613
1.74,-0.082982,0.263306
1.745,-0.134138,0.200623
1.75,-0.13675,0.154723
1.755,-0.09697,0.155375
1.76,-0.068561,0.145458
1.765,-0.064031,0.125757
1.77,-0.024095,0.090205
1.775,0.035602,0.093042
1.78,0.08411,0.112224
1.785,0.078539,0.155684
1.79,0.060365,0.149059
1.795,0.066488,0.093974
1.8,0.057663,0.094139
1.805,0.037737,0.102208
1.81,0.008251,0.134004
1.815,0.031678,0.108317
1.82,0.062772,0.059572
1.825,0.0845,0.018541
1.83,0.125771,0.017871
1.835,0.155253,0.002863
1.84,0.192316,-0.087038
1.845,0.180679,-0.121225
1.85,0.186297,-0.169777
1.855,0.177993,-0.13275
1.86,0.14681,-0.098677
1.865,0.129897,-0.144258
1.87,0.111124,-0.140853
1.875,0.122744,-0.120561
1.88,0.123361,-0.073191
1.885,0.129507,-0.081544
1.89,0.136352,-0.098246
1.895,0.162732,-0.107188
1.9,0.187589,-0.096988
1.905,0.186868,-0.077511
1.91,0.176736,-0.102975
1.915,0.166652,-0.1033
1.92,0.161528,-0.086574
1.925,0.13618,-0.06617
1.93,0.104073,-0.054
1.935,0.084364,-0.062062
1.94,0.071375,-0.048853
1.945,0.064711,-0.012828
1.95,0.041296,0.020307
1.955,0.023307,-0.084291
1.96,0.037521,-0.271934
1.965,0.040951,-0.300868
1.97,0.069311,-0.29255
1.975,0.104323,-0.253195
1.98,0.104602,-0.19436
1.985,0.078184,-0.172992
1.99,0.062538,-0.124084
1.995,0.062046,-0.112594
2,0.001566,-0.085266
2.005,-0.048714,-0.034354
2.01,-0.066502,0.019344
2.015,-0.048317,0.039367
2.02,-0.027095,0.002174
2.025,-0.049772,-0.048748
2.03,-0.056036,-0.043091
2.035,-0.053975,0.050607
2.04,-0.036435,0.07199
2.045,-0.055351,0.007354
2.05,-0.090388,-0.082433
2.055,-0.093599,-0.088733
2.06,-0.10672,-0.002439
2.065,-0.126841,0.065419
2.07,-0.15516,0.05437
2.075,-0.141319,-0.007856
2.08,-0.129976,0.031871
2.085,-0.133872,0.083584
2.09,-0.137658,0.098002
2.095,-0.133471,0.085609
2.1,-0.115164,0.041056
2.105,-0.124856,0.038365
2.11,-0.137686,0.049779
2.115,-0.149856,0.050414
2.12,-0.137903,0.005942
2.125,-0.140286,-0.02167
2.13,-0.162526,-0.018218
2.135,-0.158116,-0.016465
2.14,-0.146982,0.012775
2.145,-0.134106,0.030964
2.15,-0.137163,0.060223
2.155,-0.136372,0.082489
2.16,-0.129877,0.088425
2.165,-0.120397,0.08408
2.17,-0.106661,0.076595
2.175,-0.103525,0.068951
